RegionID,RegionName,Country
99,Region_99,Turkey
100,Region_100,Saudi Arabia
101,Region_101,Argentina
102,Region_102,Chile
103,Region_103,Colombia
104,Region_104,Peru
105,Region_105,New Zealand
106,Region_106,Sweden
107,Region_107,Norway
108,Region_108,Denmark
109,Region_109,Finland
110,Region_110,Poland
111,Region_111,Portugal
112,Region_112,Belgium
113,Region_113,Switzerland
114,Region_114,Austria
115,Region_115,Greece
116,Region_116,Ireland
117,Region_117,Thailand
118,Region_118,Vietnam
119,Region_119,Malaysia
120,Region_120,Indonesia
121,Region_121,Philippines
122,Region_122,Pakistan
123,Region_123,Bangladesh
124,Region_124,Sri Lanka
125,Region_125,Nepal
126,Region_126,UAE
127,Region_127,Qatar
128,Region_128,Kuwait
129,Region_129,Oman
130,Region_130,Nigeria
131,Region_131,Kenya
132,Region_132,Morocco
133,Region_133,Algeria
134,Region_134,Venezuela
135,Region_135,Ecuador
136,Region_136,Paraguay
137,Region_137,Bolivia
138,Region_138,Uruguay
139,Region_139,Czech Republic
140,Region_140,Hungary
141,Region_141,Romania
142,Region_142,Bulgaria
143,Region_143,Slovakia
144,Region_144,Slovenia
145,Region_145,Croatia
146,Region_146,Serbia
147,Region_147,Lithuania
148,Region_148,Latvia
149,Region_149,Estonia
150,Region_150,Ukraine
151,Region_151,Belarus
152,Region_152,Kazakhstan
153,Region_153,Uzbekistan
154,Region_154,Turkmenistan
155,Region_155,Tajikistan
156,Region_156,Kyrgyzstan
157,Region_157,Mongolia
158,Region_158,Myanmar
159,Region_159,Cambodia
160,Region_160,Laos
161,Region_161,United States
162,Region_162,Canada
163,Region_163,Mexico
164,Region_164,Brazil
165,Region_165,United Kingdom
166,Region_166,Germany
167,Region_167,France
168,Region_168,Italy
169,Region_169,Spain
170,Region_170,Netherlands
171,Region_171,Australia
172,Region_172,India
173,Region_173,China
174,Region_174,Japan
175,Region_175,South Korea
176,Region_176,South Africa
177,Region_177,Egypt
178,Region_178,Russia
179,Region_179,Turkey
180,Region_180,Saudi Arabia
181,Region_181,Argentina
182,Region_182,Chile
183,Region_183,Colombia
184,Region_184,Peru
185,Region_185,New Zealand
186,Region_186,Sweden
187,Region_187,Norway
188,Region_188,Denmark
189,Region_189,Finland
190,Region_190,Poland
191,Region_191,Portugal
192,Region_192,Belgium
193,Region_193,Switzerland
194,Region_194,Austria
195,Region_195,Greece
196,Region_196,Ireland
197,Region_197,Thailand
198,Region_198,Vietnam
199,Region_199,Malaysia
200,Region_200,Indonesia
201,Region_201,Philippines
202,Region_202,Pakistan
203,Region_203,Bangladesh
204,Region_204,Sri Lanka
205,Region_205,Nepal
206,Region_206,UAE
207,Region_207,Qatar
208,Region_208,Kuwait
209,Region_209,Oman
210,Region_210,Nigeria
211,Region_211,Kenya
212,Region_212,Morocco
213,Region_213,Algeria
214,Region_214,Venezuela
215,Region_215,Ecuador
216,Region_216,Paraguay
217,Region_217,Bolivia
218,Region_218,Uruguay
219,Region_219,Czech Republic
220,Region_220,Hungary
221,Region_221,Romania
222,Region_222,Bulgaria
223,Region_223,Slovakia
224,Region_224,Slovenia
225,Region_225,Croatia
226,Region_226,Serbia
227,Region_227,Lithuania
228,Region_228,Latvia
229,Region_229,Estonia
230,Region_230,Ukraine
231,Region_231,Belarus
232,Region_232,Kazakhstan
233,Region_233,Uzbekistan
234,Region_234,Turkmenistan
235,Region_235,Tajikistan
236,Region_236,Kyrgyzstan
237,Region_237,Mongolia
238,Region_238,Myanmar
239,Region_239,Cambodia
240,Region_240,Laos
241,Region_241,United States
242,Region_242,Canada
243,Region_243,Mexico
244,Region_244,Brazil
245,Region_245,United Kingdom
246,Region_246,Germany
247,Region_247,France
248,Region_248,Italy
249,Region_249,Spain
250,Region_250,Netherlands
251,Region_251,Australia
252,Region_252,India
253,Region_253,China
254,Region_254,Japan
255,Region_255,South Korea
256,Region_256,South Africa
257,Region_257,Egypt
258,Region_258,Russia
259,Region_259,Turkey
260,Region_260,Saudi Arabia
261,Region_261,Argentina
262,Region_262,Chile
263,Region_263,Colombia
264,Region_264,Peru
265,Region_265,New Zealand
266,Region_266,Sweden
267,Region_267,Norway
268,Region_268,Denmark
269,Region_269,Finland
270,Region_270,Poland
271,Region_271,Portugal
272,Region_272,Belgium
273,Region_273,Switzerland
274,Region_274,Austria
275,Region_275,Greece
276,Region_276,Ireland
277,Region_277,Thailand
278,Region_278,Vietnam
279,Region_279,Malaysia
280,Region_280,Indonesia
281,Region_281,Philippines
282,Region_282,Pakistan
283,Region_283,Bangladesh
284,Region_284,Sri Lanka
285,Region_285,Nepal
286,Region_286,UAE
287,Region_287,Qatar
288,Region_288,Kuwait
289,Region_289,Oman
290,Region_290,Nigeria
291,Region_291,Kenya
292,Region_292,Morocco
293,Region_293,Algeria
294,Region_294,Venezuela
295,Region_295,Ecuador
296,Region_296,Paraguay
297,Region_297,Bolivia
298,Region_298,Uruguay
299,Region_299,Czech Republic
300,Region_300,Hungary
301,Region_301,Romania
302,Region_302,Bulgaria
303,Region_303,Slovakia
304,Region_304,Slovenia
305,Region_305,Croatia
306,Region_306,Serbia
307,Region_307,Lithuania
308,Region_308,Latvia
309,Region_309,Estonia
310,Region_310,Ukraine
311,Region_311,Belarus
312,Region_312,Kazakhstan
313,Region_313,Uzbekistan
314,Region_314,Turkmenistan
315,Region_315,Tajikistan
316,Region_316,Kyrgyzstan
317,Region_317,Mongolia
318,Region_318,Myanmar
319,Region_319,Cambodia
320,Region_320,Laos
321,Region_321,United States
322,Region_322,Canada
323,Region_323,Mexico
324,Region_324,Brazil
325,Region_325,United Kingdom
326,Region_326,Germany
327,Region_327,France
328,Region_328,Italy
329,Region_329,Spain
330,Region_330,Netherlands
331,Region_331,Australia
332,Region_332,India
333,Region_333,China
334,Region_334,Japan
335,Region_335,South Korea
336,Region_336,South Africa
337,Region_337,Egypt
338,Region_338,Russia
339,Region_339,Turkey
340,Region_340,Saudi Arabia
341,Region_341,Argentina
342,Region_342,Chile
343,Region_343,Colombia
344,Region_344,Peru
345,Region_345,New Zealand
346,Region_346,Sweden
347,Region_347,Norway
348,Region_348,Denmark
349,Region_349,Finland
350,Region_350,Poland
351,Region_351,Portugal
352,Region_352,Belgium
353,Region_353,Switzerland
354,Region_354,Austria
355,Region_355,Greece
356,Region_356,Ireland
357,Region_357,Thailand
358,Region_358,Vietnam
359,Region_359,Malaysia
360,Region_360,Indonesia
361,Region_361,Philippines
362,Region_362,Pakistan
363,Region_363,Bangladesh
364,Region_364,Sri Lanka
365,Region_365,Nepal
366,Region_366,UAE
367,Region_367,Qatar
368,Region_368,Kuwait
369,Region_369,Oman
370,Region_370,Nigeria
371,Region_371,Kenya
372,Region_372,Morocco
373,Region_373,Algeria
374,Region_374,Venezuela
375,Region_375,Ecuador
376,Region_376,Paraguay
377,Region_377,Bolivia
378,Region_378,Uruguay
379,Region_379,Czech Republic
380,Region_380,Hungary
381,Region_381,Romania
382,Region_382,Bulgaria
383,Region_383,Slovakia
384,Region_384,Slovenia
385,Region_385,Croatia
386,Region_386,Serbia
387,Region_387,Lithuania
388,Region_388,Latvia
389,Region_389,Estonia
390,Region_390,Ukraine
391,Region_391,Belarus
392,Region_392,Kazakhstan
393,Region_393,Uzbekistan
394,Region_394,Turkmenistan
395,Region_395,Tajikistan
396,Region_396,Kyrgyzstan
397,Region_397,Mongolia
398,Region_398,Myanmar
399,Region_399,Cambodia
400,Region_400,Laos
401,Region_401,United States
402,Region_402,Canada
403,Region_403,Mexico
404,Region_404,Brazil
405,Region_405,United Kingdom
406,Region_406,Germany
407,Region_407,France
408,Region_408,Italy
409,Region_409,Spain
410,Region_410,Netherlands
411,Region_411,Australia
412,Region_412,India
413,Region_413,China
414,Region_414,Japan
415,Region_415,South Korea
416,Region_416,South Africa
417,Region_417,Egypt
418,Region_418,Russia
419,Region_419,Turkey
420,Region_420,Saudi Arabia
421,Region_421,Argentina
422,Region_422,Chile
423,Region_423,Colombia
424,Region_424,Peru
425,Region_425,New Zealand
426,Region_426,Sweden
427,Region_427,Norway
428,Region_428,Denmark
429,Region_429,Finland
430,Region_430,Poland
431,Region_431,Portugal
432,Region_432,Belgium
433,Region_433,Switzerland
434,Region_434,Austria
435,Region_435,Greece
436,Region_436,Ireland
437,Region_437,Thailand
438,Region_438,Vietnam
439,Region_439,Malaysia
440,Region_440,Indonesia
441,Region_441,Philippines
442,Region_442,Pakistan
443,Region_443,Bangladesh
444,Region_444,Sri Lanka
445,Region_445,Nepal
446,Region_446,UAE
447,Region_447,Qatar
448,Region_448,Kuwait
449,Region_449,Oman
450,Region_450,Nigeria
451,Region_451,Kenya
452,Region_452,Morocco
453,Region_453,Algeria
454,Region_454,Venezuela
455,Region_455,Ecuador
456,Region_456,Paraguay
457,Region_457,Bolivia
458,Region_458,Uruguay
459,Region_459,Czech Republic
460,Region_460,Hungary
461,Region_461,Romania
462,Region_462,Bulgaria
463,Region_463,Slovakia
464,Region_464,Slovenia
465,Region_465,Croatia
466,Region_466,Serbia
467,Region_467,Lithuania
468,Region_468,Latvia
469,Region_469,Estonia
470,Region_470,Ukraine
471,Region_471,Belarus
472,Region_472,Kazakhstan
473,Region_473,Uzbekistan
474,Region_474,Turkmenistan
475,Region_475,Tajikistan
476,Region_476,Kyrgyzstan
477,Region_477,Mongolia
478,Region_478,Myanmar
479,Region_479,Cambodia
480,Region_480,Laos
481,Region_481,United States
482,Region_482,Canada
483,Region_483,Mexico
484,Region_484,Brazil
485,Region_485,United Kingdom
486,Region_486,Germany
487,Region_487,France
488,Region_488,Italy
489,Region_489,Spain
490,Region_490,Netherlands
491,Region_491,Australia
492,Region_492,India
493,Region_493,China
494,Region_494,Japan
495,Region_495,South Korea
496,Region_496,South Africa
497,Region_497,Egypt
498,Region_498,Russia
499,Region_499,Turkey
500,Region_500,Saudi Arabia
501,Region_501,Argentina
502,Region_502,Chile
503,Region_503,Colombia
504,Region_504,Peru
505,Region_505,New Zealand
506,Region_506,Sweden
507,Region_507,Norway
508,Region_508,Denmark
509,Region_509,Finland
510,Region_510,Poland
511,Region_511,Portugal
512,Region_512,Belgium
513,Region_513,Switzerland
514,Region_514,Austria
515,Region_515,Greece
516,Region_516,Ireland
517,Region_517,Thailand
518,Region_518,Vietnam
519,Region_519,Malaysia
520,Region_520,Indonesia
521,Region_521,Philippines
522,Region_522,Pakistan
523,Region_523,Bangladesh
524,Region_524,Sri Lanka
525,Region_525,Nepal
526,Region_526,UAE
527,Region_527,Qatar
528,Region_528,Kuwait
529,Region_529,Oman
530,Region_530,Nigeria
531,Region_531,Kenya
532,Region_532,Morocco
533,Region_533,Algeria
534,Region_534,Venezuela
535,Region_535,Ecuador
536,Region_536,Paraguay
537,Region_537,Bolivia
538,Region_538,Uruguay
539,Region_539,Czech Republic
540,Region_540,Hungary
541,Region_541,Romania
542,Region_542,Bulgaria
543,Region_543,Slovakia
544,Region_544,Slovenia
545,Region_545,Croatia
546,Region_546,Serbia
547,Region_547,Lithuania
548,Region_548,Latvia
549,Region_549,Estonia
550,Region_550,Ukraine
551,Region_551,Belarus
552,Region_552,Kazakhstan
553,Region_553,Uzbekistan
554,Region_554,Turkmenistan
555,Region_555,Tajikistan
556,Region_556,Kyrgyzstan
557,Region_557,Mongolia
558,Region_558,Myanmar
559,Region_559,Cambodia
560,Region_560,Laos
561,Region_561,United States
562,Region_562,Canada
563,Region_563,Mexico
564,Region_564,Brazil
565,Region_565,United Kingdom
566,Region_566,Germany
567,Region_567,France
568,Region_568,Italy
569,Region_569,Spain
570,Region_570,Netherlands
571,Region_571,Australia
572,Region_572,India
573,Region_573,China
574,Region_574,Japan
575,Region_575,South Korea
576,Region_576,South Africa
577,Region_577,Egypt
578,Region_578,Russia
579,Region_579,Turkey
580,Region_580,Saudi Arabia
581,Region_581,Argentina
582,Region_582,Chile
583,Region_583,Colombia
584,Region_584,Peru
585,Region_585,New Zealand
586,Region_586,Sweden
587,Region_587,Norway
588,Region_588,Denmark
589,Region_589,Finland
590,Region_590,Poland
591,Region_591,Portugal
592,Region_592,Belgium
593,Region_593,Switzerland
594,Region_594,Austria
595,Region_595,Greece
596,Region_596,Ireland
597,Region_597,Thailand
598,Region_598,Vietnam
599,Region_599,Malaysia
600,Region_600,Indonesia
601,Region_601,Philippines
602,Region_602,Pakistan
603,Region_603,Bangladesh
604,Region_604,Sri Lanka
605,Region_605,Nepal
606,Region_606,UAE
607,Region_607,Qatar
608,Region_608,Kuwait
609,Region_609,Oman
610,Region_610,Nigeria
611,Region_611,Kenya
612,Region_612,Morocco
613,Region_613,Algeria
614,Region_614,Venezuela
615,Region_615,Ecuador
616,Region_616,Paraguay
617,Region_617,Bolivia
618,Region_618,Uruguay
619,Region_619,Czech Republic
620,Region_620,Hungary
621,Region_621,Romania
622,Region_622,Bulgaria
623,Region_623,Slovakia
624,Region_624,Slovenia
625,Region_625,Croatia
626,Region_626,Serbia
627,Region_627,Lithuania
628,Region_628,Latvia
629,Region_629,Estonia
630,Region_630,Ukraine
631,Region_631,Belarus
632,Region_632,Kazakhstan
633,Region_633,Uzbekistan
634,Region_634,Turkmenistan
635,Region_635,Tajikistan
636,Region_636,Kyrgyzstan
637,Region_637,Mongolia
638,Region_638,Myanmar
639,Region_639,Cambodia
640,Region_640,Laos
641,Region_641,United States
642,Region_642,Canada
643,Region_643,Mexico
644,Region_644,Brazil
645,Region_645,United Kingdom
646,Region_646,Germany
647,Region_647,France
648,Region_648,Italy
649,Region_649,Spain
650,Region_650,Netherlands
651,Region_651,Australia
652,Region_652,India
653,Region_653,China
654,Region_654,Japan
655,Region_655,South Korea
656,Region_656,South Africa
657,Region_657,Egypt
658,Region_658,Russia
659,Region_659,Turkey
660,Region_660,Saudi Arabia
661,Region_661,Argentina
662,Region_662,Chile
663,Region_663,Colombia
664,Region_664,Peru
665,Region_665,New Zealand
666,Region_666,Sweden
667,Region_667,Norway
668,Region_668,Denmark
669,Region_669,Finland
670,Region_670,Poland
671,Region_671,Portugal
672,Region_672,Belgium
673,Region_673,Switzerland
674,Region_674,Austria
675,Region_675,Greece
676,Region_676,Ireland
677,Region_677,Thailand
678,Region_678,Vietnam
679,Region_679,Malaysia
680,Region_680,Indonesia
681,Region_681,Philippines
682,Region_682,Pakistan
683,Region_683,Bangladesh
684,Region_684,Sri Lanka
685,Region_685,Nepal
686,Region_686,UAE
687,Region_687,Qatar
688,Region_688,Kuwait
689,Region_689,Oman
690,Region_690,Nigeria
691,Region_691,Kenya
692,Region_692,Morocco
693,Region_693,Algeria
694,Region_694,Venezuela
695,Region_695,Ecuador
696,Region_696,Paraguay
697,Region_697,Bolivia
698,Region_698,Uruguay
699,Region_699,Czech Republic
700,Region_700,Hungary
701,Region_701,Romania
702,Region_702,Bulgaria
703,Region_703,Slovakia
704,Region_704,Slovenia
705,Region_705,Croatia
706,Region_706,Serbia
707,Region_707,Lithuania
708,Region_708,Latvia
709,Region_709,Estonia
710,Region_710,Ukraine
711,Region_711,Belarus
712,Region_712,Kazakhstan
713,Region_713,Uzbekistan
714,Region_714,Turkmenistan
715,Region_715,Tajikistan
716,Region_716,Kyrgyzstan
717,Region_717,Mongolia
718,Region_718,Myanmar
719,Region_719,Cambodia
720,Region_720,Laos
721,Region_721,United States
722,Region_722,Canada
723,Region_723,Mexico
724,Region_724,Brazil
725,Region_725,United Kingdom
726,Region_726,Germany
727,Region_727,France
728,Region_728,Italy
729,Region_729,Spain
730,Region_730,Netherlands
731,Region_731,Australia
732,Region_732,India
733,Region_733,China
734,Region_734,Japan
735,Region_735,South Korea
736,Region_736,South Africa
737,Region_737,Egypt
738,Region_738,Russia
739,Region_739,Turkey
740,Region_740,Saudi Arabia
741,Region_741,Argentina
742,Region_742,Chile
743,Region_743,Colombia
744,Region_744,Peru
745,Region_745,New Zealand
746,Region_746,Sweden
747,Region_747,Norway
748,Region_748,Denmark
749,Region_749,Finland
750,Region_750,Poland
751,Region_751,Portugal
752,Region_752,Belgium
753,Region_753,Switzerland
754,Region_754,Austria
755,Region_755,Greece
756,Region_756,Ireland
757,Region_757,Thailand
758,Region_758,Vietnam
759,Region_759,Malaysia
760,Region_760,Indonesia
761,Region_761,Philippines
762,Region_762,Pakistan
763,Region_763,Bangladesh
764,Region_764,Sri Lanka
765,Region_765,Nepal
766,Region_766,UAE
767,Region_767,Qatar
768,Region_768,Kuwait
769,Region_769,Oman
770,Region_770,Nigeria
771,Region_771,Kenya
772,Region_772,Morocco
773,Region_773,Algeria
774,Region_774,Venezuela
775,Region_775,Ecuador
776,Region_776,Paraguay
777,Region_777,Bolivia
778,Region_778,Uruguay
779,Region_779,Czech Republic
780,Region_780,Hungary
781,Region_781,Romania
782,Region_782,Bulgaria
783,Region_783,Slovakia
784,Region_784,Slovenia
785,Region_785,Croatia
786,Region_786,Serbia
787,Region_787,Lithuania
788,Region_788,Latvia
789,Region_789,Estonia
790,Region_790,Ukraine
791,Region_791,Belarus
792,Region_792,Kazakhstan
793,Region_793,Uzbekistan
794,Region_794,Turkmenistan
795,Region_795,Tajikistan
796,Region_796,Kyrgyzstan
797,Region_797,Mongolia
798,Region_798,Myanmar
799,Region_799,Cambodia
800,Region_800,Laos
801,Region_801,United States
802,Region_802,Canada
803,Region_803,Mexico
804,Region_804,Brazil
805,Region_805,United Kingdom
806,Region_806,Germany
807,Region_807,France
808,Region_808,Italy
809,Region_809,Spain
810,Region_810,Netherlands
811,Region_811,Australia
812,Region_812,India
813,Region_813,China
814,Region_814,Japan
815,Region_815,South Korea
816,Region_816,South Africa
817,Region_817,Egypt
818,Region_818,Russia
819,Region_819,Turkey
820,Region_820,Saudi Arabia
821,Region_821,Argentina
822,Region_822,Chile
823,Region_823,Colombia
824,Region_824,Peru
825,Region_825,New Zealand
826,Region_826,Sweden
827,Region_827,Norway
828,Region_828,Denmark
829,Region_829,Finland
830,Region_830,Poland
831,Region_831,Portugal
832,Region_832,Belgium
833,Region_833,Switzerland
834,Region_834,Austria
835,Region_835,Greece
836,Region_836,Ireland
837,Region_837,Thailand
838,Region_838,Vietnam
839,Region_839,Malaysia
840,Region_840,Indonesia
841,Region_841,Philippines
842,Region_842,Pakistan
843,Region_843,Bangladesh
844,Region_844,Sri Lanka
845,Region_845,Nepal
846,Region_846,UAE
847,Region_847,Qatar
848,Region_848,Kuwait
849,Region_849,Oman
850,Region_850,Nigeria
851,Region_851,Kenya
852,Region_852,Morocco
853,Region_853,Algeria
854,Region_854,Venezuela
855,Region_855,Ecuador
856,Region_856,Paraguay
857,Region_857,Bolivia
858,Region_858,Uruguay
859,Region_859,Czech Republic
860,Region_860,Hungary
861,Region_861,Romania
862,Region_862,Bulgaria
863,Region_863,Slovakia
864,Region_864,Slovenia
865,Region_865,Croatia
866,Region_866,Serbia
867,Region_867,Lithuania
868,Region_868,Latvia
869,Region_869,Estonia
870,Region_870,Ukraine
871,Region_871,Belarus
872,Region_872,Kazakhstan
873,Region_873,Uzbekistan
874,Region_874,Turkmenistan
875,Region_875,Tajikistan
876,Region_876,Kyrgyzstan
877,Region_877,Mongolia
878,Region_878,Myanmar
879,Region_879,Cambodia
880,Region_880,Laos
881,Region_881,United States
882,Region_882,Canada
883,Region_883,Mexico
884,Region_884,Brazil
885,Region_885,United Kingdom
886,Region_886,Germany
887,Region_887,France
888,Region_888,Italy
889,Region_889,Spain
890,Region_890,Netherlands
891,Region_891,Australia
892,Region_892,India
893,Region_893,China
894,Region_894,Japan
895,Region_895,South Korea
896,Region_896,South Africa
897,Region_897,Egypt
898,Region_898,Russia
899,Region_899,Turkey
900,Region_900,Saudi Arabia
901,Region_901,Argentina
902,Region_902,Chile
903,Region_903,Colombia
904,Region_904,Peru
905,Region_905,New Zealand
906,Region_906,Sweden
907,Region_907,Norway
908,Region_908,Denmark
909,Region_909,Finland
910,Region_910,Poland
911,Region_911,Portugal
912,Region_912,Belgium
913,Region_913,Switzerland
914,Region_914,Austria
915,Region_915,Greece
916,Region_916,Ireland
917,Region_917,Thailand
918,Region_918,Vietnam
919,Region_919,Malaysia
920,Region_920,Indonesia
921,Region_921,Philippines
922,Region_922,Pakistan
923,Region_923,Bangladesh
924,Region_924,Sri Lanka
925,Region_925,Nepal
926,Region_926,UAE
927,Region_927,Qatar
928,Region_928,Kuwait
929,Region_929,Oman
930,Region_930,Nigeria
931,Region_931,Kenya
932,Region_932,Morocco
933,Region_933,Algeria
934,Region_934,Venezuela
935,Region_935,Ecuador
936,Region_936,Paraguay
937,Region_937,Bolivia
938,Region_938,Uruguay
939,Region_939,Czech Republic
940,Region_940,Hungary
941,Region_941,Romania
942,Region_942,Bulgaria
943,Region_943,Slovakia
944,Region_944,Slovenia
945,Region_945,Croatia
946,Region_946,Serbia
947,Region_947,Lithuania
948,Region_948,Latvia
949,Region_949,Estonia
950,Region_950,Ukraine
951,Region_951,Belarus
952,Region_952,Kazakhstan
953,Region_953,Uzbekistan
954,Region_954,Turkmenistan
955,Region_955,Tajikistan
956,Region_956,Kyrgyzstan
957,Region_957,Mongolia
958,Region_958,Myanmar
959,Region_959,Cambodia
960,Region_960,Laos
961,Region_961,United States
962,Region_962,Canada
963,Region_963,Mexico
964,Region_964,Brazil
965,Region_965,United Kingdom
966,Region_966,Germany
967,Region_967,France
968,Region_968,Italy
969,Region_969,Spain
970,Region_970,Netherlands
971,Region_971,Australia
972,Region_972,India
973,Region_973,China
974,Region_974,Japan
975,Region_975,South Korea
976,Region_976,South Africa
977,Region_977,Egypt
978,Region_978,Russia
979,Region_979,Turkey
980,Region_980,Saudi Arabia
981,Region_981,Argentina
982,Region_982,Chile
983,Region_983,Colombia
984,Region_984,Peru
985,Region_985,New Zealand
986,Region_986,Sweden
987,Region_987,Norway
988,Region_988,Denmark
989,Region_989,Finland
990,Region_990,Poland
991,Region_991,Portugal
992,Region_992,Belgium
993,Region_993,Switzerland
994,Region_994,Austria
995,Region_995,Greece
996,Region_996,Ireland
997,Region_997,Thailand
998,Region_998,Vietnam
999,Region_999,Malaysia
1000,Region_1000,Indonesia
1001,Region_1001,Philippines
1002,Region_1002,Pakistan
1003,Region_1003,Bangladesh
1004,Region_1004,Sri Lanka
1005,Region_1005,Nepal
1006,Region_1006,UAE
1007,Region_1007,Qatar
1008,Region_1008,Kuwait
1009,Region_1009,Oman
1010,Region_1010,Nigeria
1011,Region_1011,Kenya
1012,Region_1012,Morocco
1013,Region_1013,Algeria
1014,Region_1014,Venezuela
1015,Region_1015,Ecuador
1016,Region_1016,Paraguay
1017,Region_1017,Bolivia
1018,Region_1018,Uruguay
1019,Region_1019,Czech Republic
1020,Region_1020,Hungary
1021,Region_1021,Romania
1022,Region_1022,Bulgaria
1023,Region_1023,Slovakia
1024,Region_1024,Slovenia
1025,Region_1025,Croatia
1026,Region_1026,Serbia
1027,Region_1027,Lithuania
1028,Region_1028,Latvia
1029,Region_1029,Estonia
1030,Region_1030,Ukraine
1031,Region_1031,Belarus
1032,Region_1032,Kazakhstan
1033,Region_1033,Uzbekistan
1034,Region_1034,Turkmenistan
1035,Region_1035,Tajikistan
1036,Region_1036,Kyrgyzstan
1037,Region_1037,Mongolia
1038,Region_1038,Myanmar
1039,Region_1039,Cambodia
1040,Region_1040,Laos
1041,Region_1041,United States
1042,Region_1042,Canada
1043,Region_1043,Mexico
1044,Region_1044,Brazil
1045,Region_1045,United Kingdom
1046,Region_1046,Germany
1047,Region_1047,France
1048,Region_1048,Italy
1049,Region_1049,Spain
1050,Region_1050,Netherlands
1051,Region_1051,Australia
1052,Region_1052,India
1053,Region_1053,China
1054,Region_1054,Japan
1055,Region_1055,South Korea
1056,Region_1056,South Africa
1057,Region_1057,Egypt
1058,Region_1058,Russia
1059,Region_1059,Turkey
1060,Region_1060,Saudi Arabia
1061,Region_1061,Argentina
1062,Region_1062,Chile
1063,Region_1063,Colombia
1064,Region_1064,Peru
1065,Region_1065,New Zealand
1066,Region_1066,Sweden
1067,Region_1067,Norway
1068,Region_1068,Denmark
1069,Region_1069,Finland
1070,Region_1070,Poland
1071,Region_1071,Portugal
1072,Region_1072,Belgium
1073,Region_1073,Switzerland
1074,Region_1074,Austria
1075,Region_1075,Greece
1076,Region_1076,Ireland
1077,Region_1077,Thailand
1078,Region_1078,Vietnam
1079,Region_1079,Malaysia
1080,Region_1080,Indonesia
1081,Region_1081,Philippines
1082,Region_1082,Pakistan
1083,Region_1083,Bangladesh
1084,Region_1084,Sri Lanka
1085,Region_1085,Nepal
1086,Region_1086,UAE
1087,Region_1087,Qatar
1088,Region_1088,Kuwait
1089,Region_1089,Oman
1090,Region_1090,Nigeria
1091,Region_1091,Kenya
1092,Region_1092,Morocco
1093,Region_1093,Algeria
1094,Region_1094,Venezuela
1095,Region_1095,Ecuador
1096,Region_1096,Paraguay
1097,Region_1097,Bolivia
1098,Region_1098,Uruguay
1099,Region_1099,Czech Republic
1100,Region_1100,Hungary
1101,Region_1101,Romania
1102,Region_1102,Bulgaria
1103,Region_1103,Slovakia
1104,Region_1104,Slovenia
1105,Region_1105,Croatia
1106,Region_1106,Serbia
1107,Region_1107,Lithuania
1108,Region_1108,Latvia
1109,Region_1109,Estonia
1110,Region_1110,Ukraine
1111,Region_1111,Belarus
1112,Region_1112,Kazakhstan
1113,Region_1113,Uzbekistan
1114,Region_1114,Turkmenistan
1115,Region_1115,Tajikistan
1116,Region_1116,Kyrgyzstan
1117,Region_1117,Mongolia
